Name, Area, Zone, Level, Cost, Type, Description,
Arlan, Gondor, Mountains, FACIL, 3sp, paste, 1d6+3 hits 1 per wound every 4h,
Arlan, Rohvannion, Mountains, FACIL, 3sp, paste, 1d6+3 hits 1 per wound every 4h,
Arlan, Khand, Mountains, FACIL, 3sp, paste, 1d6+3 hits 1 per wound every 4h,
Arpsusar, Eriador, River shores, EHARD, 50gp, cataplasm, heals any muscle damage.  wrap it around muscle and warm it for 4h without moving,
Arpsusar, Rohan, River shores, EHARD, 50gp, cataplasm, heals any muscle damage.  wrap it around muscle and warm it for 4h without moving,
Arpsusar, Gondor, River shores, EHARD, 50gp, cataplasm, heals any muscle damage.  wrap it around muscle and warm it for 4h without moving,
Arpsusar, Rohvannion, River shores, EHARD, 50gp, cataplasm, heals any muscle damage.  wrap it around muscle and warm it for 4h without moving,
Arpsusar, Rhun, River shores, EHARD, 50gp, cataplasm, heals any muscle damage.  wrap it around muscle and warm it for 4h without moving,
Arpsusar, Anduin Vale, River shores, EHARD, 50gp, cataplasm, heals any muscle damage.  wrap it around muscle and warm it for 4h without moving,
Arroweed, Eriador, Decidious Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Rohan, Decidious Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Gondor, Decidious Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Rohvannion, Decidious Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Rhun, Decidious Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Anduin Vale, Decidious Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Eriador, Coniferous Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Rohan, Coniferous Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Gondor, Coniferous Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Rohvannion, Coniferous Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Rhun, Coniferous Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arroweed, Anduin Vale, Coniferous Forest, DIFICIL, 1sp, ingest, 1d4 hits per seed.  limit 1 x Co total every 3 days,
Arunya, Harad, Hills, VHARD, 1bp, ingest, RR Stam 161.  unconciusness for and hour.  that makes you rest as 1/2 a sleep cycle.  addiction after 2 days of ussage. cannot repeat for 30days - Co total,,
Arunya, Khand, Hills, VHARD, 1bp, ingest, RR Stam 161.  unconciusness for and hour.  that makes you rest as 1/2 a sleep cycle.  addiction after 2 days of ussage. cannot repeat for 30days - Co total,
Asp Gland, Rhun, Plains, NORMAL, 100gp, ingest, Repairs organs in 1h of inmovility.  generates great pain,
Asp Gland, Harad, Plains, NORMAL, 100gp, ingest, Repairs organs in 1h of inmovility.  generates great pain,
Asp Gland, Khand, Plains, NORMAL, 100gp, ingest, Repairs organs in 1h of inmovility.  generates great pain,
Asp Gland, Rhun, Coniferous Forest, NORMAL, 100gp, ingest, Repairs organs in 1h of inmovility.  generates great pain,
Asp Gland, Harad, Coniferous Forest, NORMAL, 100gp, ingest, Repairs organs in 1h of inmovility.  generates great pain,
Asp Gland, Khand, Coniferous Forest, NORMAL, 100gp, ingest, Repairs organs in 1h of inmovility.  generates great pain,
Athelas, Eriador, Hills, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Mountains, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Seaside, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, River shores, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Lake shores, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Coniferous Forest, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Decidious Forest, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Plains, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Gorge, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Swamp, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Rough, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Desert, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Volcanic, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Eriador, Thundra, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Hills, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Mountains, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Seaside, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, River shores, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Lake shores, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Coniferous Forest, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Decidious Forest, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Plains, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Gorge, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Swamp, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Rough, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Desert, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Volcanic, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Rohan, Thundra, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Hills, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Mountains, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Seaside, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, River shores, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Lake shores, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Coniferous Forest, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Decidious Forest, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Plains, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Gorge, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Swamp, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Rough, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Desert, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Volcanic, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Athelas, Gondor, Thundra, EHARD, 200gp, ingest, Antidote for minor poison.  Retardant for Major,
Atigax, Forochel, Thundra, DIFICIL, 20gp, paste, Rub under eyes to nullify the effects of blinding lights for 8h.  works for magical effects too.,
Balak, Eriador, Swamp, VHARD, 50gp, boiled, 1 cup heals a shattered bone in 1h of FULL inmovility for 12h or tere will be permanent damage,
Balak, Rohan, Swamp, VHARD, 50gp, boiled, 1 cup heals a shattered bone in 1h of FULL inmovility for 12h or tere will be permanent damage,
Balak, Gondor, Swamp, VHARD, 50gp, boiled, 1 cup heals a shattered bone in 1h of FULL inmovility for 12h or tere will be permanent damage,
Balak, Anduin Vale, Swamp, VHARD, 50gp, boiled, 1 cup heals a shattered bone in 1h of FULL inmovility for 12h or tere will be permanent damage,
Bitterlove, Eriador, Plains, NORMAL, 9sp, ingest, Grants Darkvision.  lasts 12h at daylight gives -40 act,
Bitterlove, Rohan, Plains, NORMAL, 9sp, ingest, Grants Darkvision.  lasts 12h at daylight gives -40 act,
Bitterlove, Gondor, Plains, NORMAL, 9sp, ingest, Grants Darkvision.  lasts 12h at daylight gives -40 act,
Bitterlove, Rohvannion, Plains, NORMAL, 9sp, ingest, Grants Darkvision.  lasts 12h at daylight gives -40 act,
Bitterlove, Rhun, Plains, NORMAL, 9sp, ingest, Grants Darkvision.  lasts 12h at daylight gives -40 act,
Bitterlove, Anduin Vale, Plains, NORMAL, 9sp, ingest, Grants Darkvision.  lasts 12h at daylight gives -40 act,
Bitterwood, Rohvannion, Coniferous Forest, SHEERF, 50gp, cataplasm, Smoke the cortex for 3 days.  then it will completely stop any external bleeding,
Bitterwood, Rhun, Coniferous Forest, SHEERF, 50gp, cataplasm, Smoke the cortex for 3 days.  then it will completely stop any external bleeding,
Black Cackle, Eriador, Underground, DIFICIL,0, ingest, Histerical laghter and sily behaviour 4-7h,
Black Cackle, Rohvannion, Underground, DIFICIL,0, ingest, Histerical laghter and sily behaviour 4-7h,
Black Cackle, Mordor, Underground, DIFICIL,0, ingest, Histerical laghter and sily behaviour 4-7h,
Black Clover, Eriador, Plains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Rohan, Plains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Gondor, Plains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Rhun, Plains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Anduin Vale, Plains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Eriador, Mountains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Rohan, Mountains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Gondor, Mountains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Rhun, Mountains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Black Clover, Anduin Vale, Mountains, EHARD, 10gp, paste, RR stam Very Hard failure - act.  lungs feel like burning,
Baldfoot, Eriador, Decidious Forest, VHARD, 2gp, ingest, RR absurd  -act failure if more than 1  is taken in 2h.  heals 1d10 hits instantly,
Baldfoot, Rohan, Decidious Forest, VHARD, 2gp, ingest, RR absurd  -act failure if more than 1  is taken in 2h.  heals 1d10 hits instantly,
Baldfoot, Gondor, Decidious Forest, VHARD, 2gp, ingest, RR absurd  -act failure if more than 1  is taken in 2h.  heals 1d10 hits instantly,
Baldfoot, Anduin Vale, Decidious Forest, VHARD, 2gp, ingest, RR absurd  -act failure if more than 1  is taken in 2h.  heals 1d10 hits instantly,
Belan, Eriador, Seaside, VHARD, 40gp, paste, Stops external bleeding if inmovilized for 1h,
Belan, Gondor, Seaside, VHARD, 40gp, paste, Stops external bleeding if inmovilized for 1h,
Belan, Harad, Seaside, VHARD, 40gp, paste, Stops external bleeding if inmovilized for 1h,
Blue pine, Rohvannion, Coniferous Forest, FACIL, 1cp, ingest, Nutrients for one day for every five seeds,
Blue pine, Rhun, Coniferous Forest, FACIL, 1cp, ingest, Nutrients for one day for every five seeds,
Blue drake, Eriador, Swamp, SHEERF, 50gp, cataplasm, Heals burns no matter how bad they are 6 hours of aplication,
Blue drake, Rohan, Swamp, SHEERF, 50gp, cataplasm, Heals burns no matter how bad they are 6 hours of aplication,
Blue drake, Gondor, Swamp, SHEERF, 50gp, cataplasm, Heals burns no matter how bad they are 6 hours of aplication,
Blue drake, Anduin Vale, Swamp, SHEERF, 50gp, cataplasm, Heals burns no matter how bad they are 6 hours of aplication,
Boglok, Eriador, Swamp, ABSURD, 500gp, paste, Cardiac arrest 5-50 turns,
Boglok, Rohan, Swamp, ABSURD, 500gp, paste, Cardiac arrest 5-50 turns,
Boglok, Gondor, Swamp, ABSURD, 500gp, paste, Cardiac arrest 5-50 turns,
Boglok, Anduin Vale, Swamp, ABSURD, 500gp, paste, Cardiac arrest 5-50 turns,
Boneset, Gondor, Mountains, DIFICIL, 14gp, cataplasm, heals bone fractures x3 of normal rate,
Boskone, Eriador, Decidious Forest, ABSURD, 80gp, ingest, allows to see through magical illusions for 1hour. grants +20 to perception; if eaten more than once every two weeks it cauces insanity, ,Bramblerose, Eriador, River shores, DIFICIL, 4sp, ingest, Heals 1d6+4 H.P. One meal a day ,
Bramblerose, Rohan, River shores, DIFICIL, 4sp, ingest, Heals 1d6+4 H.P. One meal a day ,
Bramblerose, Gondor, River shores, DIFICIL, 4sp, ingest, Heals 1d6+4 H.P. One meal a day ,
Bramblerose, Rohvannion, River shores, DIFICIL, 4sp, ingest, Heals 1d6+4 H.P. One meal a day ,
Bramblerose, Rhun, River shores, DIFICIL, 4sp, ingest, Heals 1d6+4 H.P. One meal a day ,
Bramblerose, Anduin Vale, River shores, DIFICIL, 4sp, ingest, Heals 1d6+4 H.P. One meal a day ,
Breldiar, Mordor, Volcanic, DIFICIL, 25gp, ingest, +50 to ranged combat/ -30 to meele combat; time seems to go slower for one hour; drug ,
Breldiar, Khand, Volcanic, DIFICIL, 25gp, ingest, +50 to ranged combat/ -30 to meele combat; time seems to go slower for one hour; drug ,
Breldiar, Gondor, Volcanic, DIFICIL, 25gp, ingest, +50 to ranged combat/ -30 to meele combat; time seems to go slower for one hour; drug ,
Bluestar, Rohvannion, Plains, FACIL, 15gp, boiled, The steam of 50 flowers grants elf vision for 3 hours; one per day ,
Bluestar, Rhun, Plains, FACIL, 15gp, boiled, The steam of 50 flowers grants elf vision for 3 hours; one per day ,
Button head, Eriador, Underground, NORMAL, 10sp, ingest, Negates wearines negatives for 12 hours. then you have to sleep for 12 hours straight or suffer a -50 to activity penalty, ,Button head, Rohvannion, Underground, NORMAL, 10sp, ingest, Negates wearines negatives for 12 hours. then you have to sleep for 12 hours straight or suffer a -50 to activity penalty,
Button head, Mordor, Underground, NORMAL, 10sp, ingest, Negates wearines negatives for 12 hours. then you have to sleep for 12 hours straight or suffer a -50 to activity penalty,
Dread eye, Eriador, Plains, EHARD, 25gp, cataplasm, Restores sight to an injured eye; one dosis a day for one week,
Dread eye, Rohan, Plains, EHARD, 25gp, cataplasm, Restores sight to an injured eye; one dosis a day for one week,
Dread eye, Gondor, Plains, EHARD, 25gp, cataplasm, Restores sight to an injured eye; one dosis a day for one week,
Dread eye, Rohvannion, Plains, EHARD, 25gp, cataplasm, Restores sight to an injured eye; one dosis a day for one week,
Dread eye, Harad, Plains, EHARD, 25gp, cataplasm, Restores sight to an injured eye; one dosis a day for one week,
Caj, Harad, Desert, DIFICIL, 10gp, boiled, Allows person to starve to death without pain.  also if abused (5 doses) gets person into catathonic state that resembles death. Person wakes after 24 - Co total hours,
Camadarch, Eriador, Underground, VHARD, 33gp, contact, If the liquid contacts the skin it will burn it for 1d4 turns for a +30 OB tiny burn attack,
Carefree Mustard, Anduin Vale, River shores, SHEERF, 10gp, cataplasm, After being crushed and mixed with water the paste doubles the healing rate of any superficial wound and denies permanent dmg they created,
Carefree Mustard, Anduin Vale, Hills, SHEERF, 10gp, cataplasm, After being crushed and mixed with water the paste doubles the healing rate of any superficial wound and denies permanent dmg they created,
Carefree Mustard, Anduin Vale, Lake shores, SHEERF, 10gp, cataplasm, After being crushed and mixed with water the paste doubles the healing rate of any superficial wound and denies permanent dmg they created,
Carefree Mustard, Anduin Vale, Plains, SHEERF, 10gp, cataplasm, After being crushed and mixed with water the paste doubles the healing rate of any superficial wound and denies permanent dmg they created,
Cargalen, Eriador, Underground, DIFICIL, 45gp, paste, Luminescent fungi illuminate 12' radius without loosing further visibility.  if cooked the paste makes victims (RR Stam Hard) nerves stop working for 1d100 days with -act.   if RR fumbles the victim is dead,
Carlong, Eriador, Plains, EHARD, 110gp, bolied, Boiled for 8h then ingested it heals any broken (not shattered) bones if they were first placed into position.  takes 12h to work and patient must not move at all.,
Carlong, Rohan, Plains, EHARD, 110gp, bolied, Boiled for 8h then ingested it heals any broken (not shattered) bones if they were first placed into position.  takes 12h to work and patient must not move at all.,
Carlong, Rohvannion, Plains, EHARD, 110gp, bolied, Boiled for 8h then ingested it heals any broken (not shattered) bones if they were first placed into position.  takes 12h to work and patient must not move at all.,
Carlong, Gondor, Plains, EHARD, 110gp, bolied, Boiled for 8h then ingested it heals any broken (not shattered) bones if they were first placed into position.  takes 12h to work and patient must not move at all.,
Carlong, Anduin Vale, Plains, EHARD, 110gp, bolied, Boiled for 8h then ingested it heals any broken (not shattered) bones if they were first placed into position.  takes 12h to work and patient must not move at all.,
Carlong, Rhun, Plains, EHARD, 110gp, bolied, Boiled for 8h then ingested it heals any broken (not shattered) bones if they were first placed into position.  takes 12h to work and patient must not move at all.,
Caradhrain, Gondor, Seaside, SHEERF, 65gp, boiled/cooked, one plant is boiled and the other cooked.  the mixture creates a paste that FULLY protects from fire and heat for 1h.   trhe of these doses are needed to fully cover a man sized creature,
Caradhrain, Eriador, Seaside, SHEERF, 65gp, boiled/cooked, one plant is boiled and the other cooked.  the mixture creates a paste that FULLY protects from fire and heat for 1h.   trhe of these doses are needed to fully cover a man sized creature,
Carpet Moss, Eriador, Underground, DIFICIL, 10sp, cataplasm, One wrapped around the body part helps double the healing rate of a relocated bone or joint,
Cashdir, Harad, Seaside, DIFICIL, 114gp, ingest, The flower must be picked up at night and cannot ever recive sunlight to keep its properties.  antidote for all muscular poisons,
Cashdir, Harad, River shores, DIFICIL, 114gp, ingest, The flower must be picked up at night and cannot ever recive sunlight to keep its properties.  antidote for all muscular poisons,
Cashdir, Harad, Lake shores, DIFICIL, 114gp, ingest, The flower must be picked up at night and cannot ever recive sunlight to keep its properties.  antidote for all muscular poisons,
Blue Rub, Rhun, Lake shores, FACIL, 2sp, paste, Applied to injuries doubles healing rate of superfitial wounds,
Blue Rub, Khand, Lake shores, FACIL, 2sp, paste, Applied to injuries doubles healing rate of superfitial wounds,
Blue Rub, Rhun, Underground, FACIL, 2sp, paste, Applied to injuries doubles healing rate of superfitial wounds,
Blue Rub, Khand, Underground, FACIL, 2sp, paste, Applied to injuries doubles healing rate of superfitial wounds,
Blue Rub, Rhun, River shores, FACIL, 2sp, paste, Applied to injuries doubles healing rate of superfitial wounds,
Blue Rub, Khand, River shores, FACIL, 2sp, paste, Applied to injuries doubles healing rate of superfitial wounds,
Palmfan, Harad, Rough, FACIL, 2sp, boiled, Stops nausea instantly for 4h,
Palmfan, Harad, Desert, FACIL, 2sp, boiled, Stops nausea instantly for 4h,
Palmfan, Harad, Seaside, FACIL, 2sp, boiled, Stops nausea instantly for 4h,
Palmfan, Harad, River shores, FACIL, 2sp, boiled, Stops nausea instantly for 4h,
Coraco, Harad, Rain Forest, VHARD, 10gp, ingest, 4 herbs needed to Heal 2-20 hits of light wounds.  doses are cumulative but the system can only take 1 per year per Co total.,
Creagach, Gondor, Mountains, SHEERF, 600gp, powder, If squeezed releases powder.  RR stam Sheer Folly. fail by 100 results in death. 99-80 Coma for 4 months - Co total. 60- 79 Limb paralysis 1d4 for 4 months - Co total. 1 - 59 causes - act equal to the failure for 4 months - Co total ,
Crowtongue, Eriador, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Crowtongue, Rohan, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Crowtongue, Gondor, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Crowtongue, Rohvannion, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Crowtongue, Rhun, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Crowtongue, Anduin Vale, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Crowtongue, Mordor, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Crowtongue, Khand, Underground, VHARD, 50 gp, paste, A dose covers a full human body.  the paste covers all natural body odour and renders the person invisible to the night vision of the elves and fould creatures.  as well as to dwarven night and dark vision.,
Cuildolthor, Eriador, Mountains, ABSURD, 845gp, ingest, magical plant.  found near Caradhras.  if used with the healing spell it can cure almost any fisical injury.  there is an 100% - Co stat (not total) chance that it causes permanent amnesia. Doens't cure magical illness,
Culan, Eriador, Plains, EHARD, 20 gp, boiled, grants +20 to RR stam to resist poisons.  allows for a second throw,
Culan, Eriador, Rough, EHARD, 20 gp, boiled, grants +20 to RR stam to resist poisons.  allows for a second throw,
Culan, Eriador, Hills, EHARD, 20 gp, boiled, grants +20 to RR stam to resist poisons.  allows for a second throw,
Culkas, Eriador, Seaside, NORMAL, 35gp, cataplasm, If left around a burn wound for 1h it will fully heal it leaving a bad scar (apperance penalty applied),
Culkas, Harad, Seaside, NORMAL, 35gp, cataplasm, If left around a burn wound for 1h it will fully heal it leaving a bad scar (apperance penalty applied),
Curfalaka, Eriador, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
Curfalaka, Rohan, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
